,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,type_right,type_left,type
289,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
290,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
291,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
292,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
293,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
294,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
295,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
296,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
297,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
298,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
299,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
300,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
301,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
302,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
303,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
304,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
305,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
306,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
307,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
308,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
309,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
310,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
311,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
312,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
313,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
314,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
315,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
316,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
317,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
318,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
319,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
320,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
321,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
322,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
323,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
324,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
325,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
326,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
327,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
328,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
329,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
330,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
331,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
